OBJECTID,MUID,SEQN,SNAM,S5ID,CMPPCT,NLAYERS,HYDGRP,SOL_ZMX,ANION_EXCL,SOL_CRK,TEXTURE,SOL_Z1,SOL_BD1,SOL_AWC1,SOL_K1,SOL_CBN1,CLAY1,SILT1,SAND1,ROCK1,SOL_ALB1,USLE_K1,SOL_EC1,SOL_Z2,SOL_BD2,SOL_AWC2,SOL_K2,SOL_CBN2,CLAY2,SILT2,SAND2,ROCK2,SOL_ALB2,USLE_K2,SOL_EC2,SOL_Z3,SOL_BD3,SOL_AWC3,SOL_K3,SOL_CBN3,CLAY3,SILT3,SAND3,ROCK3,SOL_ALB3,USLE_K3,SOL_EC3,SOL_Z4,SOL_BD4,SOL_AWC4,SOL_K4,SOL_CBN4,CLAY4,SILT4,SAND4,ROCK4,SOL_ALB4,USLE_K4,SOL_EC4,SOL_Z5,SOL_BD5,SOL_AWC5,SOL_K5,SOL_CBN5,CLAY5,SILT5,SAND5,ROCK5,SOL_ALB5,USLE_K5,SOL_EC5,SOL_Z6,SOL_BD6,SOL_AWC6,SOL_K6,SOL_CBN6,CLAY6,SILT6,SAND6,ROCK6,SOL_ALB6,USLE_K6,SOL_EC6,SOL_Z7,SOL_BD7,SOL_AWC7,SOL_K7,SOL_CBN7,CLAY7,SILT7,SAND7,ROCK7,SOL_ALB7,USLE_K7,SOL_EC7,SOL_Z8,SOL_BD8,SOL_AWC8,SOL_K8,SOL_CBN8,CLAY8,SILT8,SAND8,ROCK8,SOL_ALB8,USLE_K8,SOL_EC8,SOL_Z9,SOL_BD9,SOL_AWC9,SOL_K9,SOL_CBN9,CLAY9,SILT9,SAND9,ROCK9,SOL_ALB9,USLE_K9,SOL_EC9,SOL_Z10,SOL_BD10,SOL_AWC10,SOL_K10,SOL_CBN10,CLAY10,SILT10,SAND10,ROCK10,SOL_ALB10,USLE_K10,SOL_EC10,SOL_CAL1,SOL_CAL2,SOL_CAL3,SOL_CAL4,SOL_CAL5,SOL_CAL6,SOL_CAL7,SOL_CAL8,SOL_CAL9,SOL_CAL10,SOL_PH1,SOL_PH2,SOL_PH3,SOL_PH4,SOL_PH5,SOL_PH6,SOL_PH7,SOL_PH8,SOL_PH9,SOL_PH10
,400,400,ZPP400,400,1,4,A,1000,0.5,0.5,I-I-I-I,70,1.428751603,0.133721434,1.048279983,2.6,18,38.8,43.2,0,0.16,0.17,0,450,1.426061482,0.1363471,1.062584864,1.7,18,40.2,41.8,0,0.16,0.18,0,800,1.400440045,0.130917202,0.715363148,0.3,21.6,36,42.4,0,0.16,0.17,0,1000,1.419466122,0.13202899,0.916035094,0.3,19.2,37.5,43.3,0,0.16,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,447,447,ZPP447,447,1,3,A,1000,0.5,0.5,IP-PI-PI,220,1.546653813,0.085430629,1.88187603,1.9,12.6,10.1,77.3,0,0.16,0.13,0,500,1.537452668,0.088193915,1.76071955,0.9,13,12.1,74.9,0,0.16,0.14,0,800,1.473511428,0.090306025,0.815233777,0.9,18.6,12.4,69,10,0.23,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,581,581,ZPP581,581,1,3,A,1000,0.5,0.5,G-MG-MI,100,1.186718216,0.149847725,0.266710542,11.2,56.9,36.9,5.2,0,0.09,0.26,0,260,1.225211881,0.171922038,0.406888252,7.2,40.9,59.1,0,0,0.30,0.47,0,300,1.47341918,0.17126591,2.551263441,1.6,11.1,59.4,29.5,0,0.30,0.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,933,933,ZPP933,933,1,4,A,1000,0.5,0.5,MG-MG-MG-MG,50,1.242805648,0.166679487,0.315824597,5.3,41.3,48.3,9.9,0,0.16,0.24,0,140,1.21851177,0.162042721,0.279269436,3.5,47.1,45.6,7.3,0,0.13,0.26,0,400,1.210148279,0.159083059,0.268095781,1.8,49.6,43.5,6.9,0,0.23,0.26,0,800,1.210148279,0.159083059,0.268095781,1.8,49.6,43.5,6.9,0,0.23,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,952,952,ZPP952,952,1,3,A,1000,0.5,0.5,GII-GII-GII,60,1.344747459,0.15869555,0.638592912,38.2,25.3,49.2,25.5,0,0.02,0.18,0,230,1.344747459,0.15869555,0.638592912,10.8,25.3,49.2,25.5,50,0.09,0.18,0,410,1.344747459,0.15869555,0.638592912,10.8,25.3,49.2,25.5,50,0.09,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,990,990,ZPP990,990,1,3,A,1000,0.5,0.5,PII-PI-PI,260,1.472648969,0.122541539,1.420731596,3,14.9,33.5,51.6,10,0.09,0.17,0,500,1.475924546,0.104371763,1.105558569,1.3,16.5,22.4,61.1,50,0.16,0.17,0,720,1.475924546,0.104371763,1.105558569,1.3,16.5,22.4,61.1,80,0.16,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,993,993,ZPP993,993,1,3,A,1000,0.5,0.5,MGI-MGI-MGI,230,1.286954706,0.177771641,0.601011927,2.9,30.1,61.2,8.7,0,0.23,0.30,0,460,1.283827551,0.172051116,0.473722506,1.5,32.4,54.9,12.7,0,0.30,0.24,0,670,1.325144346,0.167015881,0.62208814,0,26.8,53.5,19.7,0,0.30,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,999,999,ZPP999,999,1,9,A,1000,0.5,0.5,MGI-MGI-MGI-MGG-MGG-G-G-G-G,120,1.304478925,0.171125252,0.558818726,2.7,29.2,55.3,15.5,0,0.23,0.22,0,190,1.30255741,0.172413688,0.569875942,1.9,29.2,56.3,14.5,0,0.16,0.23,0,400,1.314442387,0.177156774,0.747486234,0.7,26.2,61.4,12.4,1,0.23,0.27,0,590,1.259006799,0.15081387,0.2349135,0.2,42.6,36.7,20.7,5,0.23,0.17,0,860,1.235560172,0.156635027,0.244010606,0.2,45.9,39.9,14.2,10,0.23,0.19,0,1640,1.187138203,0.130818207,0.230194065,0.1,64.5,20.5,15,15,0.23,0.14,0,2340,1.23257927,0.140246484,0.186022065,0.1,51.2,27.8,21,30,0.23,0.15,0,3290,1.249250254,0.150736072,0.224974616,0.2,44.7,36,19.3,30,0.23,0.17,0,4290,1.23971322,0.142733841,0.192726313,0.2,48.9,29.9,21.2,35,0.16,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1104,1104,ZPP1104,1104,1,3,A,1000,0.5,0.5,MI-MG-MGI,140,1.346156995,0.186786942,1.415867991,3.5,19.8,72.7,7.5,0,0.16,0.37,0,550,1.236952558,0.159649274,0.26071287,0.5,44.7,42.4,12.9,0,0.23,0.20,0,800,1.254135902,0.175298619,0.45034654,0,36,58.7,5.3,0,0.30,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1204,1204,ZPP1204,1204,1,4,A,1000,0.5,0.5,I-IPI-IPI-IPI,70,1.514882188,0.140578813,2.540160671,6.4,10.4,43.5,46.1,5,0.09,0.183085275,0,280,1.482217591,0.117971329,1.472462636,2.4,14.5,31,54.5,15,0.16,0.173367855,0,490,1.482217591,0.117971329,1.472462636,2.4,14.5,31,54.5,30,0.16,0.173367855,0,700,1.482217591,0.117971329,1.472462636,2.4,14.5,31,54.5,60,0.16,0.173367855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
